,VMAF,PSNR,P1204_3_MOS,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT
VMAF,1.0,0.9374233812889189,0.978189772568492,0.8884616798734267,0.907188755447228,0.8228059961797011,0.9304934483085465,0.8292079786584442,0.9706260680012899,0.9453457325676792,0.9603913699585552,0.6599800576404515,0.8098237199633241,0.5089496273578403,0.8214906261376351
PSNR,0.9374233812889189,1.0,0.9398413403113153,0.7830114705760542,0.8339813703128894,0.7552288904109675,0.8540842744241858,0.7352233729620548,0.8820191884504018,0.8676309725716392,0.8402968711999607,0.5158437464893484,0.634352951465597,0.33080234354000165,0.7816780441885817
P1204_3_MOS,0.978189772568492,0.9398413403113153,1.0,0.8750677991522406,0.8919017066011791,0.8155789799313385,0.9168257634875555,0.8177086192847526,0.9415985407248438,0.9120855048808092,0.9359323308728602,0.5983622353403348,0.7936585155016012,0.4983880442463766,0.7837688098482369
COVER_SSC,0.8884616798734267,0.7830114705760542,0.8750677991522406,1.0,0.8801470969918759,0.7834541217637818,0.901886137913921,0.8044240894368585,0.880545675786606,0.81826658232749,0.8851091109989585,0.5518451034028817,0.7714061752925746,0.40978062129079307,0.7176645360257867
COVER_TSC,0.907188755447228,0.8339813703128894,0.8919017066011791,0.8801470969918759,1.0,0.7633182791468658,0.9804765326831053,0.7713837946682374,0.8800735763715747,0.8319363683048522,0.8781555835938593,0.5804360040475826,0.7596553369822983,0.42774139215082113,0.7243384565182491
COVER_ASC,0.8228059961797011,0.7552288904109675,0.8155789799313385,0.7834541217637818,0.7633182791468658,1.0,0.8752365030787868,0.7736300381262939,0.8134612773507252,0.7869123613051499,0.8001422101469107,0.5396633316347377,0.6791331516644755,0.5194704049012079,0.6841991127131489
COVER_FSC,0.9304934483085465,0.8540842744241858,0.9168257634875555,0.901886137913921,0.9804765326831053,0.8752365030787868,1.0,0.8144323309513637,0.9076880105644639,0.8630092311348102,0.9024461578435098,0.5988475528362751,0.7769427755797343,0.4775599731228185,0.7512475901702957
LD_PCT,0.8292079786584442,0.7352233729620548,0.8177086192847526,0.8044240894368585,0.7713837946682374,0.7736300381262939,0.8144323309513637,1.0,0.853875959838701,0.7942020381967555,0.8176574100298745,0.481348874602253,0.6922181165863156,0.37003982837043486,0.6798144153820069
SI_PCT,0.9706260680012899,0.8820191884504018,0.9415985407248438,0.880545675786606,0.8800735763715747,0.8134612773507252,0.9076880105644639,0.853875959838701,1.0,0.9684936172579346,0.9529146239652965,0.6442048218059304,0.775008462593541,0.44592272140679473,0.8604577410535932
TI_PCT,0.9453457325676792,0.8676309725716392,0.9120855048808092,0.81826658232749,0.8319363683048522,0.7869123613051499,0.8630092311348102,0.7942020381967555,0.9684936172579346,1.0,0.9320009944525419,0.7160600620566557,0.7659918513602675,0.5275672715917379,0.8541381913745941
VCA_E_PCT,0.9603913699585552,0.8402968711999607,0.9359323308728602,0.8851091109989585,0.8781555835938593,0.8001422101469107,0.9024461578435098,0.8176574100298745,0.9529146239652965,0.9320009944525419,1.0,0.7082802858192399,0.9100173363085702,0.5890268023988225,0.7706759886946792
VCA_H_PCT,0.6599800576404515,0.5158437464893484,0.5983622353403348,0.5518451034028817,0.5804360040475826,0.5396633316347377,0.5988475528362751,0.481348874602253,0.6442048218059304,0.7160600620566557,0.7082802858192399,1.0,0.7172222651897,0.7726045699193786,0.5673079784844881
EVCA_SC_PCT,0.8098237199633241,0.634352951465597,0.7936585155016012,0.7714061752925746,0.7596553369822983,0.6791331516644755,0.7769427755797343,0.6922181165863156,0.775008462593541,0.7659918513602675,0.9100173363085702,0.7172222651897,1.0,0.7529884874887877,0.5525655847851095
EVCA_TC_PCT,0.5089496273578403,0.33080234354000165,0.4983880442463766,0.40978062129079307,0.42774139215082113,0.5194704049012079,0.4775599731228185,0.37003982837043486,0.44592272140679473,0.5275672715917379,0.5890268023988225,0.7726045699193786,0.7529884874887877,1.0,0.3216418566123346
CARS_PCT,0.8214906261376351,0.7816780441885817,0.7837688098482369,0.7176645360257867,0.7243384565182491,0.6841991127131489,0.7512475901702957,0.6798144153820069,0.8604577410535932,0.8541381913745941,0.7706759886946792,0.5673079784844881,0.5525655847851095,0.3216418566123346,1.0
