BITRATE,VMAF,PSNR,SI,TI,P1204_3_MOS,VCA_E,VCA_H,EVCA_SC,EVCA_TC,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,INFERENCE_TIME_MS,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOPS_SIGNS,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,BICYCLES_PCT,MOTORCYCLES_PCT,BUSES_PCT,TRUCKS_PCT,TRAFFIC_LIGHTS_PCT,PERSONS_PCT,STOPS_SIGNS_PCT,filename
990,83.287346,37.462999,28.53249981323818,1.7933276903199775,3.162801318181277,104.199336,5.604433,28.661246,2.019472,-0.070424,0.300552,-0.072201,0.157927,13.876412,4.684385,0.0,0.0,0.186047,0.003322,1.0,0.0,0.0,0.923,99.4544409970144,91.37271212651616,93.58477068976,70.00355736488196,89.34230370866972,51.2522784041045,96.9072094569029,,,82.35301929052648,49.99247554552294,97.09680551509857,0.0,,./Ingolstadt/SEQUENCE_C_03
1535,87.62132,38.916689,28.6525774497642,1.826325210792953,3.388629117355132,106.694352,6.006063,29.485569,2.110877,-0.068865,0.462968,-0.026523,0.367579,8.807973,4.727575,0.0,0.0,0.196013,0.0,1.0,0.0,0.0,0.9373,99.87299017059212,93.0539848550536,95.82562470275757,75.02021627479444,91.91186805419892,53.57205035812376,97.80069331368315,,,86.76443248315731,0.0,97.09680551509857,0.0,,./Ingolstadt/SEQUENCE_C_03
2055,89.455421,39.666156,28.689015319179887,1.8435329935100224,3.4830100487955886,108.55814,6.338881,31.003567,2.24098,-0.068181,0.282249,-0.003186,0.210882,8.855482,4.684385,0.0,0.0,0.215947,0.0,1.0,0.0,0.0,0.95,100.0,93.93074696887668,97.49955257303044,79.17736186919538,96.64374322616992,56.873940741951415,96.9072094569029,,,95.58814416105244,0.0,97.09680551509857,0.0,,./Ingolstadt/SEQUENCE_C_03
3026,91.307022,40.722264,28.65080450276329,1.873531742089097,3.635522162557902,109.644518,6.740725,31.881067,2.800155,-0.065039,0.302418,0.022548,0.259927,8.877409,4.790698,0.0,0.0,0.212625,0.006645,1.003322,0.0,0.0,0.9542,99.86681028961264,95.45922781087071,98.47526355080863,84.19669379906833,99.3790699284479,71.06527034524136,99.10653683050516,,,94.11767309684215,100.0,97.41936110301972,0.0,,./Ingolstadt/SEQUENCE_C_03
3959,92.563446,41.503706,28.608668503448342,1.896516615696341,3.712931427358374,110.056478,7.09308,31.586342,3.157072,-0.063606,0.431996,0.039012,0.407402,8.821262,4.760797,0.0,0.0,0.222591,0.0,1.0299,0.0299,0.0,0.9608,99.71993874715584,96.63034129487896,98.84525805953903,88.59787112696269,98.4603586323466,80.12348429975906,98.48796630951448,,,98.529086289473,0.0,100.0,100.0,,./Ingolstadt/SEQUENCE_C_03
4921,93.299955,42.083376,28.57783741913793,1.91703838499129,3.762973880282087,110.48505,7.416145,31.480088,3.341549,-0.063437,0.400171,0.045628,0.382361,8.818605,4.800664,0.0,0.0,0.20598,0.003322,1.0,0.013289,0.0,0.9606,99.6124722343899,97.67595595205276,99.23017233907008,92.63319446120286,98.1291456369918,84.80533508211899,99.3127063168833,,,91.17628832210488,49.99247554552294,97.09680551509857,44.44481605351171,,./Ingolstadt/SEQUENCE_C_03
450,69.125388,34.448322,27.41952872330326,1.6961765574735046,2.487540248583766,97.504983,5.048566,25.817939,1.446102,-0.075822,-0.099161,-0.180521,-0.355503,8.837542,4.833887,0.0,0.0,0.13289,0.0,1.0,0.0,0.0,0.8735,95.5750081285365,86.42271746449104,87.57235722849468,63.06036303608102,80.47919993673368,36.70069320333846,100.0,,,58.8232690315784,0.0,97.09680551509857,0.0,,./Ingolstadt/SEQUENCE_C_03
5904,93.824801,42.501322,28.55909796502105,1.9339382948286008,3.798836714596833,110.833887,7.6365,31.602469,3.572895,-0.062527,0.445199,0.050002,0.432675,8.811628,4.817276,0.0,0.0,0.225914,0.0,1.0,0.0,0.0,0.9656,99.54715296878112,98.53703148490928,99.54347405390158,95.38559312189496,98.51062941722142,90.67667650189404,99.65636350208436,,,100.0,0.0,97.09680551509857,0.0,,./Ingolstadt/SEQUENCE_C_03
557,73.63456,35.269811,27.847142962629405,1.7237594010706825,2.6890775608866337,99.551495,5.169186,26.730085,1.567732,-0.07572,-0.059367,-0.158156,-0.293243,8.811296,4.681063,0.0,0.0,0.152824,0.003322,1.0,0.0,0.0,0.8745,97.0655236954485,87.82810435571,89.41039539251756,64.56699699697448,83.32252450673487,39.78754690682691,96.83848629477686,,,67.64698070947351,49.99247554552294,97.09680551509857,0.0,,./Ingolstadt/SEQUENCE_C_03
775,79.529581,36.532628,28.256419972529027,1.767886316386229,3.049941060756112,102.322259,5.405641,27.794831,1.832341,-0.071859,-0.059556,-0.107308,-0.238723,8.847841,4.784053,0.0,0.0,0.162791,0.0,1.0,0.0,0.0,0.9097,98.4921220131189,90.07643629856824,91.8989075417259,67.52049669207534,86.64153096251111,46.50307162627422,98.96906981896764,,,72.05883654842108,0.0,97.09680551509857,0.0,,./Ingolstadt/SEQUENCE_C_03
7904,100.0,,28.523217996398973,1.962651264895045,3.87320517241461,111.342193,8.005926,32.080263,3.940258,-0.062508,0.146789,0.052412,0.136694,8.834551,4.787375,0.0,0.0,0.209302,0.003322,1.0,0.0,0.0,1.0,99.42208778887552,100.0,100.0,100.0,100.0,100.0,99.03779298109367,,,92.64675938631514,49.99247554552294,97.09680551509857,0.0,,./Ingolstadt/SEQUENCE_C_03
988,56.356303,34.792611,15.123613125479274,5.449057591000554,2.038247138498589,39.92691,30.755856,16.038698,10.97842,-0.08039,-0.543143,-0.3712,-0.994733,9.917276,1.86711,0.056478,0.0,0.0,0.27907,0.0,1.172757,0.0,0.7372,83.85231181795069,87.43131075395583,75.24888757121421,89.14464650356196,84.02498301158774,83.53354849234485,76.77596145226725,29.82431126530741,,,87.50003919269321,0.0,57.2122913367619,,./Ingolstadt/SEQUENCE_C_05
1440,70.753771,36.800773,16.375954525231826,5.761141056821799,2.746712093748535,43.106312,31.382912,16.45035,11.261559,-0.076464,-0.425098,-0.250026,-0.751588,8.80598,2.186047,0.13289,0.0,0.0,0.292359,0.0,1.611296,0.0,0.8232,90.7958722411979,92.43875764283678,81.24099824648796,90.9621438106744,86.18158277465368,85.68792092358487,89.89071892113719,70.17516066515638,,,91.6666927951288,0.0,78.60617006060002,,./Ingolstadt/SEQUENCE_C_05
1958,78.534258,38.074018,16.986730921009702,5.908447447889354,3.084527591036416,45.023256,31.882988,16.736484,11.46665,-0.071613,-0.16121,-0.201942,-0.434765,8.912957,2.229236,0.169435,0.0,0.0,0.302326,0.0,1.863787,0.0,0.8733,94.18229930494807,94.80232063302095,84.85379732200656,92.41159455088189,87.6806074765988,87.24843500428531,91.6666598132978,89.47346186545843,,,94.79176138234196,0.0,90.92380163466896,,./Ingolstadt/SEQUENCE_C_05
3011,86.403861,39.689878,17.551770606056994,6.047687265952079,3.296939190759761,47.598007,32.718828,17.29089,11.857134,-0.069337,-0.080805,-0.144122,-0.294263,8.960797,2.299003,0.169435,0.0,0.0,0.305648,0.0,1.950166,0.0,0.9192,97.31514087309688,97.03645370999052,89.70634284889233,94.83424412153722,90.58507981790244,90.2195833252172,94.53549373451312,89.47346186545843,,,95.83334639756438,0.0,95.13775261801686,,./Ingolstadt/SEQUENCE_C_05
4057,90.21238,40.696904,17.793429231810386,6.11801474704731,3.4644358512147075,49.285714,33.387036,17.80227,12.205042,-0.068756,0.082584,-0.113713,-0.099885,9.03588,2.348837,0.189369,0.0,0.0,0.305648,0.0,1.963455,0.0,0.9343,98.65500815692948,98.16487339568722,92.88710675714746,96.77101889219722,93.26414365540757,92.86677570707856,96.58467844404404,100.0,,,95.83334639756438,0.0,95.78604901665209,,./Ingolstadt/SEQUENCE_C_05
5140,92.54432,41.49008,17.914086041044,6.164455765998508,3.5708831188974752,50.747508,33.943836,18.196976,12.461097,-0.066213,0.08983,-0.093493,-0.069875,8.982724,2.41196,0.169435,0.0,0.0,0.312292,0.0,2.026578,0.0,0.9442,99.3239853587974,98.91002961616076,95.64210012774078,98.38488192931064,95.33196517960933,94.8150690643383,99.18030966810232,89.47346186545843,,,97.91651642800927,0.0,98.86546910627884,,./Ingolstadt/SEQUENCE_C_05
