BITRATE,VMAF,PSNR,SI,TI,P1204_3_MOS,VCA_E,VCA_H,EVCA_SC,EVCA_TC,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,INFERENCE_TIME_MS,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOPS_SIGNS,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,BICYCLES_PCT,MOTORCYCLES_PCT,BUSES_PCT,TRUCKS_PCT,TRAFFIC_LIGHTS_PCT,PERSONS_PCT,STOPS_SIGNS_PCT,filename
1003,66.318704,37.010912,18.783172629950904,7.688158186481423,2.534363826118721,36.401254,37.347099,13.191756,7.86652,-0.08361,-0.048692,-0.041874,-0.174177,16.510031,3.968652,0.0,0.0,0.112853,0.22884,0.611285,0.012539,0.0,0.9008,85.91669375033719,92.83584305289745,83.86537591855054,93.52018071856224,86.3665304387091,83.29492342212562,87.79473211962899,,0.0,75.00033229215126,45.9118878565424,93.74990414669084,18.18142273004089,,./TRAIN02/SEQUENCE_02_10
1440,77.517874,38.836523,19.969338233681032,7.910332689566093,3.062791674528223,38.564263,38.209501,13.624233,8.144463,-0.072954,0.114114,-0.002077,0.039083,17.208777,4.106583,0.0,0.003135,0.15047,0.338558,0.636364,0.031348,0.0,0.928,91.342370707081,95.51863869763216,88.84876365844015,95.67970563620176,89.19796076417462,86.23793264357498,90.84604908972172,,100.0,100.0,67.92447530560779,97.59615237148756,45.45428182002726,,./TRAIN02/SEQUENCE_02_10
1940,83.33552,40.106999,20.56844876038937,8.021329892589705,3.313553903676884,39.717868,38.649606,13.916306,8.351071,-0.068876,0.253802,0.032604,0.21753,16.017555,4.366771,0.0,0.0,0.100313,0.338558,0.62069,0.034483,0.0,0.9422,94.08278078901388,96.85894916852357,91.50657091383088,96.781764436944,91.1101649957284,88.42560871106079,96.60194196235004,,0.0,66.66644513856583,67.92447530560779,95.1923047429751,50.0,,./TRAIN02/SEQUENCE_02_10
2940,88.988286,41.612519,21.10078051981127,8.116709428349711,3.5067842045352604,40.909091,39.139769,14.318655,8.659793,-0.064328,0.454035,0.053985,0.443692,9.302821,4.470219,0.0,0.003135,0.097179,0.420063,0.617555,0.031348,0.0,0.9581,96.51773603586608,98.01067359945996,94.2510468238592,98.00917255079918,93.74434706788652,91.69452245547708,98.89042415940622,,100.0,64.583637934472,84.2767232506676,94.71150454421368,45.45428182002726,,./TRAIN02/SEQUENCE_02_10
3940,92.263955,42.753981,21.40823060484304,8.176738151209362,3.607983869145356,41.752351,39.476868,14.611018,8.903655,-0.064052,0.50114,0.067482,0.504571,9.175862,4.514107,0.0,0.0,0.094044,0.432602,0.652038,0.053292,0.0,0.9678,97.92405302605704,98.73553083560051,96.1938457421898,98.85329592970062,95.65844993172452,94.27666381093874,99.86131684620926,,0.0,62.50016614607563,86.79240740480665,100.0,77.27285908998637,,./TRAIN02/SEQUENCE_02_10
4940,94.249005,43.570475,21.58618612591788,8.215000867484507,3.685909652490034,42.294671,39.714627,14.846193,9.098685,-0.06281,0.499699,0.080942,0.517831,9.109091,4.492163,0.0,0.0,0.094044,0.476489,0.623824,0.056426,0.0,0.973,98.73804490626736,99.19755976850448,97.44330463907691,99.44866384964172,97.19814250911328,96.34174581861394,99.37587050280771,,0.0,62.50016614607563,95.5974022586787,95.67295157644186,81.81712728010903,,./TRAIN02/SEQUENCE_02_10
543,40.287185,33.433143,15.703218119424855,6.941281188371647,1.3163570754401197,31.338558,34.178311,11.88017,7.006454,-0.102747,-0.421639,-0.182835,-0.70722,9.110031,3.062696,0.0,0.0,0.141066,0.144201,0.548589,0.0,0.0,0.7797,71.82857809175647,83.81717380929916,72.20135733278032,85.58527722260901,77.77956656581874,74.18808436140067,67.7531249612864,,0.0,93.75024921911344,28.93086934452574,84.13451363264105,0.0,,./TRAIN02/SEQUENCE_02_10
5940,95.785926,44.356599,21.724056601688712,8.245671574069505,3.745202096661184,42.818182,39.865808,15.019447,9.238108,-0.062324,0.430674,0.088647,0.456997,9.21348,4.520376,0.0,0.0,0.090909,0.498433,0.62069,0.065831,0.0,0.9756,99.36868253481832,99.56791386811874,98.64942920864524,99.82723339907884,98.3324378117726,97.81803115295278,100.0,,0.0,60.41669435767928,100.0,95.1923047429751,95.45428182002726,,./TRAIN02/SEQUENCE_02_10
640,47.634865,34.356537,16.627454280034993,7.191108740106901,1.59716204082939,32.761755,35.350214,12.484788,7.453776,-0.09573,-0.358352,-0.154856,-0.608938,9.128213,3.37931,0.0,0.0,0.112853,0.194357,0.54232,0.0,0.0,0.8276,76.05615544136293,86.83388481089708,75.48028149872124,88.51981787714887,81.73800537417688,78.92456907573842,74.75727682829924,,0.0,75.00033229215126,38.993605961082025,83.17306660041285,0.0,,./TRAIN02/SEQUENCE_02_10
827,58.552332,35.879686,17.900815622351296,7.501656302646944,2.126262072820219,34.905956,36.605892,12.864388,7.664108,-0.086737,-0.241953,-0.084338,-0.413029,9.109404,3.868339,0.0,0.0,0.103448,0.278997,0.595611,0.0,0.0,0.8774,81.88067713621541,90.58380047042668,80.42033721520652,91.66413796167062,84.22324956414931,81.15167684807263,85.57560256049499,,0.0,68.74991692696219,55.97482510186925,91.3460565181784,0.0,,./TRAIN02/SEQUENCE_02_10
7940,100.0,,21.86207570385841,8.281454590874718,3.8508770577847153,43.404389,39.934802,15.274153,9.444177,-0.0638,0.545887,0.079533,0.561621,9.122257,4.498433,0.0,0.0,0.087774,0.467085,0.617555,0.068966,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51457577865206,,0.0,58.33322256928292,93.71068930026702,94.71150454421368,100.0,,./TRAIN02/SEQUENCE_02_10
1179,51.576671,32.104318,17.514901338807306,10.058281439132085,1.867451474799945,50.231975,82.633621,17.018545,9.323132,-0.08444,-0.258424,-0.395328,-0.738192,21.167085,2.758621,0.0,0.0,0.0,0.115987,0.0,0.056426,0.0,0.7968,79.27166850074559,92.03938969232128,76.29023076925414,84.12670255827123,83.9840846916198,80.24107613610992,74.63952867008936,,,0.0,41.11089844469964,,62.068662068662064,,./TRAIN02/SEQUENCE_02_01
1561,62.994946,33.594973,18.912334204534293,10.33675636389498,2.2985126438563306,54.106583,88.165106,17.668667,9.788417,-0.078683,-0.020774,-0.352543,-0.451999,22.727586,3.23511,0.0,0.0,0.0,0.200627,0.0,0.075235,0.0,0.8543,85.59638782066042,94.58760454143804,82.17482396831505,89.75813426450782,87.1923437471316,84.24562837349004,87.53180868118267,,,0.0,71.11104022230728,,82.75858275858276,,./TRAIN02/SEQUENCE_02_01
1979,71.574583,34.751533,19.81471654457001,10.507322200742529,2.661091019232316,56.793103,91.392515,18.181106,10.1542,-0.07164,-0.108554,-0.288993,-0.469186,20.358621,3.363636,0.0,0.0,0.0,0.253918,0.0,0.075235,0.0,0.8848,89.68053036514306,96.1483856371759,86.25499861337364,93.04385832804472,89.72115689627502,87.39380020590585,91.0093143123846,,,0.0,89.99971644478471,,82.75858275858276,,./TRAIN02/SEQUENCE_02_01
2968,82.648454,36.492592,20.856023936875086,10.692447252922554,3.1061786031806573,60.304075,94.914315,18.878499,10.649878,-0.062327,0.173946,-0.255704,-0.144085,24.374608,3.570533,0.0,0.0,0.003135,0.272727,0.0,0.090909,0.0,0.9152,94.39344154936356,97.8423924038904,91.587316606134,96.6292926522857,93.16269157361336,91.65993482000276,96.6072904617924,,,50.0,96.6664540002552,,100.0,,./TRAIN02/SEQUENCE_02_01
3963,88.439914,37.769059,21.367760572455552,10.78528684058185,3.319576783027165,62.366771,96.331831,19.319042,10.945291,-0.059035,0.236778,-0.225747,-0.048003,9.598746,3.661442,0.0,0.0,0.0,0.282132,0.0,0.084639,0.0,0.9298,96.70953891986602,98.69193106903496,94.72005335094282,98.07242131420878,95.3367082490871,94.20245561930032,99.06699946562767,,,0.0,100.0,,93.10299310299312,,./TRAIN02/SEQUENCE_02_01
4958,91.637953,38.661653,21.64105825152001,10.838417638325256,3.467488058302671,63.586207,97.076242,19.624483,11.157888,-0.055689,0.305501,-0.200674,0.049138,9.292476,3.683386,0.0,0.0,0.0,0.266458,0.0,0.084639,0.0,0.9398,97.94647212307048,99.17811016710074,96.57208194126476,98.83028284829436,96.8440158839227,96.03220682987084,99.66073445754446,,,0.0,94.44444444444444,,93.10299310299312,,./TRAIN02/SEQUENCE_02_01
723,32.512353,29.39051,14.8080186262826,9.250597069819028,1.1261986621836706,43.451411,70.462186,15.068125,8.066612,-0.09451,-0.580661,-0.553501,-1.228671,9.246708,1.655172,0.0,0.0,0.0,0.084639,0.0,0.0,0.0,0.6212,67.02043711172144,84.64858671415209,65.99219267089752,71.73534563162352,74.35904104281028,69.42662912554043,44.78370096795796,,,0.0,29.999787333588536,,0.0,,./TRAIN02/SEQUENCE_02_01
5947,93.890077,39.474985,21.827135607928383,10.875070224845818,3.57845558430528,64.479624,97.51782,19.940952,11.384995,-0.055218,0.272463,-0.196194,0.021051,9.273668,3.69279,0.0,0.0,0.0,0.275862,0.0,0.084639,0.0,0.95,98.78865000505586,99.51350361521732,97.92896645761464,99.27983958576658,98.4057451209563,97.98684075311076,99.9151768501796,,,0.0,97.77763600017012,,93.10299310299312,,./TRAIN02/SEQUENCE_02_01
828,37.121596,30.101846,15.526439440258107,9.516420894253384,1.2426535802069254,45.225705,73.906807,15.722032,8.50296,-0.09025,-0.463763,-0.524061,-1.078073,9.152665,1.846395,0.0,0.0,0.0,0.084639,0.0,0.015674,0.0,0.6883,70.2719779287581,87.08103630453938,68.6869164740628,75.24220643218041,77.58597853179322,73.18213029079685,49.9575884250898,,,0.0,29.999787333588536,,17.241417241417242,,./TRAIN02/SEQUENCE_02_01
1010,45.001403,31.232754,16.628553751127807,9.8463648010282,1.556333850805362,47.931034,78.874029,16.539175,9.015774,-0.08862,-0.363019,-0.450016,-0.901655,9.221317,2.576803,0.0,0.0,0.0,0.125392,0.0,0.037618,0.0,0.7506,75.26009853595873,90.1002236275454,72.7956574446648,80.2991796433011,81.61846232621654,77.5957487204901,69.72011066241875,,,0.0,44.44444444444445,,41.37984137984137,,./TRAIN02/SEQUENCE_02_01
7942,100.0,,22.094780733223203,10.928235696429477,3.719323566318665,65.84326,98.225199,20.264012,11.618902,-0.053287,0.404592,-0.195115,0.156191,9.227586,3.695925,0.0,0.0,0.00627,0.275862,0.0,0.087774,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,97.77763600017012,,96.55149655149656,,./TRAIN02/SEQUENCE_02_01
