,VMAF,PSNR,P1204_3_MOS,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT
VMAF,1.0,0.9307821682675947,0.966542768925204,0.7612099396990524,0.912210455910405,0.8585229661367828,0.9222696061209039,0.8211068215088791,0.9903105044567097,0.9452270877254371,0.9728614966909656,0.8801658087403124,0.8119619979990987,0.4897070076092817,0.8317155935020691
PSNR,0.9307821682675947,1.0,0.9270881518326526,0.6792927387686247,0.852101013702333,0.8556086140146761,0.8754057080740704,0.7106602578023503,0.8986079205404974,0.8292826606499893,0.8942916779016791,0.7841791976318573,0.6985094579553289,0.39643841885960907,0.7169102308694568
P1204_3_MOS,0.966542768925204,0.9270881518326526,1.0,0.7407828566771308,0.8797349570934153,0.8269387007067328,0.8893486318670967,0.8001368932861603,0.964229116189429,0.9011065042808467,0.9614051102576725,0.8493652880470256,0.8184877649970937,0.5339819824906272,0.7789257691809923
COVER_SSC,0.7612099396990524,0.6792927387686247,0.7407828566771308,1.0,0.8237336989683536,0.6963633666622041,0.8201675199705722,0.675323113224657,0.7768286849789153,0.7527788826307683,0.7436269273905179,0.6624190974988987,0.6268290683127368,0.395333769969906,0.6978804655058808
COVER_TSC,0.912210455910405,0.852101013702333,0.8797349570934153,0.8237336989683536,1.0,0.8682264197771353,0.990652422990396,0.7725256929426613,0.9108839889132442,0.8607078268448725,0.8873483200402418,0.7914482764822433,0.7523220450463528,0.4164869118145538,0.7687841413018808
COVER_ASC,0.8585229661367828,0.8556086140146761,0.8269387007067328,0.6963633666622041,0.8682264197771353,1.0,0.9273027923277354,0.799132142795807,0.8452237826364366,0.7934507458476513,0.8148668596747624,0.7919910709967092,0.6502021283445432,0.3649699800967733,0.763121597484642
COVER_FSC,0.9222696061209039,0.8754057080740704,0.8893486318670967,0.8201675199705722,0.990652422990396,0.9273027923277354,1.0,0.8017642064049625,0.9180972867127171,0.8666322036110744,0.8916511727295179,0.8131990820117084,0.7446748964105188,0.4150337790320648,0.7897859002327913
LD_PCT,0.8211068215088791,0.7106602578023503,0.8001368932861603,0.675323113224657,0.7725256929426613,0.799132142795807,0.8017642064049625,1.0,0.8365147933815127,0.7797910302669975,0.7787349577589222,0.7317774582204641,0.6478018431654895,0.3885948428935787,0.8274495064939482
SI_PCT,0.9903105044567097,0.8986079205404974,0.964229116189429,0.7768286849789153,0.9108839889132442,0.8452237826364366,0.9180972867127171,0.8365147933815127,1.0,0.9602108656426026,0.972663355361088,0.873214678763821,0.8166724081936219,0.5094466209357262,0.8517388953545084
TI_PCT,0.9452270877254371,0.8292826606499893,0.9011065042808467,0.7527788826307683,0.8607078268448725,0.7934507458476513,0.8666322036110744,0.7797910302669975,0.9602108656426026,1.0,0.9415154368072902,0.8305945561017757,0.8121429631869815,0.5322851461527862,0.8055344803403621
VCA_E_PCT,0.9728614966909656,0.8942916779016791,0.9614051102576725,0.7436269273905179,0.8873483200402418,0.8148668596747624,0.8916511727295179,0.7787349577589222,0.972663355361088,0.9415154368072902,1.0,0.8904120397788484,0.8999102322227915,0.624440342592246,0.7584437355712617
VCA_H_PCT,0.8801658087403124,0.7841791976318573,0.8493652880470256,0.6624190974988987,0.7914482764822433,0.7919910709967092,0.8131990820117084,0.7317774582204641,0.873214678763821,0.8305945561017757,0.8904120397788484,1.0,0.7770653873865705,0.5623860766529881,0.7430315536661403
EVCA_SC_PCT,0.8119619979990987,0.6985094579553289,0.8184877649970937,0.6268290683127368,0.7523220450463528,0.6502021283445432,0.7446748964105188,0.6478018431654895,0.8166724081936219,0.8121429631869815,0.8999102322227915,0.7770653873865705,1.0,0.7965713280603345,0.5691788981369253
EVCA_TC_PCT,0.4897070076092817,0.39643841885960907,0.5339819824906272,0.395333769969906,0.4164869118145538,0.3649699800967733,0.4150337790320648,0.3885948428935787,0.5094466209357262,0.5322851461527862,0.624440342592246,0.5623860766529881,0.7965713280603345,1.0,0.28989315087605566
CARS_PCT,0.8317155935020691,0.7169102308694568,0.7789257691809923,0.6978804655058808,0.7687841413018808,0.763121597484642,0.7897859002327913,0.8274495064939482,0.8517388953545084,0.8055344803403621,0.7584437355712617,0.7430315536661403,0.5691788981369253,0.28989315087605566,1.0
