BITRATE,VMAF,PSNR,SI,TI,P1204_3_MOS,VCA_E,VCA_H,EVCA_SC,EVCA_TC,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,INFERENCE_TIME_MS,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOPS_SIGNS,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,BICYCLES_PCT,MOTORCYCLES_PCT,BUSES_PCT,TRUCKS_PCT,TRAFFIC_LIGHTS_PCT,PERSONS_PCT,STOPS_SIGNS_PCT,filename
1038,87.360576,43.836321,8.902716173164894,2.675106770961396,2.9160784817391896,14.496,12.504729,4.774288,2.44298,-0.086792,-0.525307,-0.362814,-0.974913,10.2548,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802,93.70834188892395,88.23555938481277,87.53623188405798,86.81024278931763,84.63942129558225,73.38226525668233,86.48648648648648,,,,,,,,./Chunk2/SEQUENCE_2_07
1528,89.728655,44.592649,8.980646212067722,2.7451615454815643,3.0949154684371445,14.8,12.814944,4.970838,2.751144,-0.088877,-0.594398,-0.347141,-1.030416,9.6208,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.838,94.52861904781346,90.54624181605736,89.3719806763285,88.96381520715157,88.12389442658035,82.63889952735187,91.8918918918919,,,,,,,,./Chunk2/SEQUENCE_2_07
2022,91.172482,45.123268,9.046238159972155,2.795472230484153,3.167192245133588,15.016,12.99729,5.115645,2.905829,-0.086011,-0.492293,-0.341168,-0.919471,8.8664,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8611,95.2190277455451,92.20568639689596,90.67632850241549,90.22969634153368,90.69105851042896,87.2853295845893,91.8918918918919,,,,,,,,./Chunk2/SEQUENCE_2_07
3018,93.066601,46.078135,9.19748880063079,2.8731947824306423,3.255957174248813,15.38,13.342595,5.257332,3.021217,-0.086268,-0.378603,-0.318729,-0.783599,7.8968,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8766,96.81106398146156,94.7692823334234,92.87439613526573,92.6268703135858,93.20291068296382,90.75135584081656,89.1891891891892,,,,,,,,./Chunk2/SEQUENCE_2_07
3992,94.126151,46.815525,9.304488645593056,2.921971402945,3.3076369315130822,15.716,13.696992,5.344555,3.080405,-0.090235,-0.469194,-0.333471,-0.8929,10.3268,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972,97.93732453596618,96.37812742428248,94.90338164251207,95.0871627048728,94.74921543954,92.52924576050992,100.0,,,,,,,,./Chunk2/SEQUENCE_2_07
4954,94.972221,47.443163,9.386525226498186,2.961236291144168,3.334719321853445,15.964,14.010671,5.455285,3.168348,-0.090678,-0.479547,-0.321286,-0.89151,10.3444,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9038,98.80082639554792,97.67323811371136,96.4009661835749,97.2647828794412,96.7122564458764,95.1708787470544,100.0,,,,,,,,./Chunk2/SEQUENCE_2_07
493,80.754248,42.295088,8.581756364768156,2.5501286119321143,2.5635845904177907,13.848,11.757517,4.262454,1.900965,-0.089923,-0.454525,-0.435048,-0.979496,9.2744,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7137,90.3299783790882,84.1132873721448,83.62318840579711,81.62295283404617,75.56553770091786,57.10121158325862,70.27027027027027,,,,,,,,./Chunk2/SEQUENCE_2_07
5926,95.573282,48.001048,9.44695947336687,2.992700868531864,3.3599759303686128,16.248,14.233142,5.551212,3.25206,-0.089726,-0.605877,-0.324062,-1.019664,8.6268,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9138,99.43694608724836,98.71106382472487,98.11594202898551,98.80921951006168,98.41286725247652,97.68542090014914,100.0,,,,,,,,./Chunk2/SEQUENCE_2_07
597,82.730809,42.733138,8.748996870255132,2.5802289647438883,2.635947657956966,14.004,11.97803,4.400072,2.016924,-0.088803,-0.634457,-0.428517,-1.151777,7.9908,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412,92.0903209712837,85.10611558253903,84.56521739130434,83.15379665066955,78.00525392244774,60.58438954496916,81.08108108108108,,,,,,,,./Chunk2/SEQUENCE_2_07
831,85.484131,43.399101,8.824067380439928,2.63470586494602,2.784883884522243,14.316,12.292759,4.610534,2.264048,-0.087899,-0.583774,-0.389335,-1.061008,9.1312,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7798,92.88049926039702,86.90297835267744,86.44927536231886,85.33870612794323,81.73636144773965,68.00750349567377,83.78378378378379,,,,,,,,./Chunk2/SEQUENCE_2_07
