BITRATE,VMAF,PSNR,SI,TI,P1204_3_MOS,VCA_E,VCA_H,EVCA_SC,EVCA_TC,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,INFERENCE_TIME_MS,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOPS_SIGNS,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,BICYCLES_PCT,MOTORCYCLES_PCT,BUSES_PCT,TRUCKS_PCT,TRAFFIC_LIGHTS_PCT,PERSONS_PCT,STOPS_SIGNS_PCT,filename
7922,100.0,,9.500452140875163,3.031778559134787,3.4264716942388818,16.56,14.40467,5.640738,3.329115,-0.091295,-0.551275,-0.315,-0.957569,8.6544,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,97.29729729729728,,,,,,,,COMMA2K
7966,100.0,,13.856591953807396,5.286750856287393,3.5177725978358803,25.972,23.802505,8.252498,5.729457,-0.096158,0.314286,-0.193439,0.02469,8.6368,3.216,0.0,0.0,0.008,0.032,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,,,,COMMA2K
7910,100.0,,8.985843994712935,2.819157181446289,3.372093627426874,14.084,13.828136,4.983135,3.420744,-0.095884,-0.616586,-0.349919,-1.062389,8.7436,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,42.85714285714285,,,,,,,,COMMA2K
7909,100.0,,11.501763196696482,3.923561720745704,3.4308983559509656,18.264,17.67474,6.730387,4.501564,-0.093002,-0.586309,-0.349243,-1.028554,8.8024,0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,96.875,,,,,,,,COMMA2K
7909,100.0,,9.933594840331551,4.09718624766261,3.5368426907728816,14.548,15.706847,4.50399,2.799464,-0.080703,0.120421,-0.109312,-0.069594,9.3972,3.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51632406287789,,,,,,,,COMMA2K
7908,100.0,,13.925314397857854,5.864217889054115,3.512179209841904,23.928,25.38266,6.872491,4.466288,-0.08451,0.453566,-0.101566,0.26749,8.6784,3.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,99.9664922858216,100.0,100.0,100.0,,,,,,,,COMMA2K
7904,100.0,,11.165257689001946,4.037085677105623,3.501906605249216,19.912,17.10451,7.388866,4.893545,-0.087404,0.373376,-0.086904,0.199068,7.7096,0.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,0.0,,,,,COMMA2K
7921,100.0,,9.893574320743644,4.261749825493698,3.5730143364923608,15.816,17.673587,5.280585,3.538793,-0.07591,0.197575,-0.12475,-0.003085,8.2548,3.212,0.0,0.0,0.0,0.336,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,99.88744990811564,99.92438170466454,97.09794437726724,,,,100.0,,,,COMMA2K
7917,100.0,,11.81604471649635,4.828305102353959,3.4083752160457967,21.756,24.006363,7.727818,5.079003,-0.095369,-0.58129,-0.275823,-0.952481,8.4152,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333333334,,,,,0.0,,,COMMA2K
7919,100.0,,9.088670951826462,3.508914936232201,3.394214873015324,14.284,17.067178,5.504623,3.792142,-0.094316,-0.551291,-0.405108,-1.050715,9.7268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,,,,,,,,COMMA2K
