,VMAF,PSNR,P1204_3_MOS,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT
VMAF,1.0,0.843967603877074,0.9350618105785293,0.5962920311655836,0.48381533860956144,0.47373964923713147,0.4995186667250884,0.8831979079189592,0.943149014645318,0.5624473123334387,0.862434866993901,0.7471085865315169,0.8090909250123021,0.7050767206689103,0.4180926703461768
PSNR,0.843967603877074,1.0,0.9250965059367696,0.6343954255688926,0.7190613139208599,0.7002149971559979,0.7359265932708672,0.7833802309128216,0.7737155336435216,0.6574709331324028,0.8160405425847087,0.679606905489265,0.7176081827295995,0.6084971444711729,0.5310997190940472
P1204_3_MOS,0.9350618105785293,0.9250965059367696,1.0,0.5774210027736624,0.6297060554895986,0.6277891888360412,0.6480761090783137,0.862416492363578,0.8726491861260256,0.7212042114859165,0.8983099856760669,0.797126400246869,0.8421206338920453,0.7556435083376486,0.5445720415169079
COVER_SSC,0.5962920311655836,0.6343954255688926,0.5774210027736624,1.0,0.5633061036845105,0.5159729340793703,0.580211037361661,0.5213575860082315,0.5893198394431561,0.2644415220429864,0.5267732024253916,0.3483119540129738,0.43227452888412493,0.26236538490692557,0.3161088285342629
COVER_TSC,0.48381533860956144,0.7190613139208599,0.6297060554895986,0.5633061036845105,1.0,0.8862682212257368,0.9930584265993322,0.4470634827014636,0.4265213606667334,0.5367380710653858,0.5461912845478917,0.43316748392272036,0.4078546955652026,0.29885983248085646,0.5961730679844605
COVER_ASC,0.47373964923713147,0.7002149971559979,0.6277891888360412,0.5159729340793703,0.8862682212257368,1.0,0.933790483055,0.4302879651307041,0.3967181890589855,0.5952386647815169,0.5487822875572588,0.44383156304698057,0.4326698087888814,0.33994937410141535,0.5994215904481038
COVER_FSC,0.4995186667250884,0.7359265932708672,0.6480761090783137,0.580211037361661,0.9930584265993322,0.933790483055,1.0,0.45899708558707514,0.4367237558885737,0.5617693859564868,0.5638140409825454,0.44758615020755144,0.427644905507968,0.31772139834700064,0.6095117191830035
LD_PCT,0.8831979079189592,0.7833802309128216,0.862416492363578,0.5213575860082315,0.4470634827014636,0.4302879651307041,0.45899708558707514,1.0,0.8262077653237077,0.4709583899340852,0.7831855202437862,0.6282802050900096,0.7497351967058278,0.6313716599398476,0.3745242901722891
SI_PCT,0.943149014645318,0.7737155336435216,0.8726491861260256,0.5893198394431561,0.4265213606667334,0.3967181890589855,0.4367237558885737,0.8262077653237077,1.0,0.5881842791448554,0.9005652844261014,0.7958211170746234,0.83270764155609,0.713405664214962,0.35147333889211196
TI_PCT,0.5624473123334387,0.6574709331324028,0.7212042114859165,0.2644415220429864,0.5367380710653858,0.5952386647815169,0.5617693859564868,0.4709583899340852,0.5881842791448554,1.0,0.8159129794770101,0.8698787436433081,0.7812473307337593,0.7742755962450165,0.48138487255925044
VCA_E_PCT,0.862434866993901,0.8160405425847087,0.8983099856760669,0.5267732024253916,0.5461912845478917,0.5487822875572588,0.5638140409825454,0.7831855202437862,0.9005652844261014,0.8159129794770101,1.0,0.9109353816781903,0.9394928193474505,0.8329432928043491,0.4880604503062928
VCA_H_PCT,0.7471085865315169,0.679606905489265,0.797126400246869,0.3483119540129738,0.43316748392272036,0.44383156304698057,0.44758615020755144,0.6282802050900096,0.7958211170746234,0.8698787436433081,0.9109353816781903,1.0,0.9015136574634777,0.9077356405346771,0.3876519568815361
EVCA_SC_PCT,0.8090909250123021,0.7176081827295995,0.8421206338920453,0.43227452888412493,0.4078546955652026,0.4326698087888814,0.427644905507968,0.7497351967058278,0.83270764155609,0.7812473307337593,0.9394928193474505,0.9015136574634777,1.0,0.9384421758651013,0.39840804811187425
EVCA_TC_PCT,0.7050767206689103,0.6084971444711729,0.7556435083376486,0.26236538490692557,0.29885983248085646,0.33994937410141535,0.31772139834700064,0.6313716599398476,0.713405664214962,0.7742755962450165,0.8329432928043491,0.9077356405346771,0.9384421758651013,1.0,0.3219822665190206
CARS_PCT,0.4180926703461768,0.5310997190940472,0.5445720415169079,0.3161088285342629,0.5961730679844605,0.5994215904481038,0.6095117191830035,0.3745242901722891,0.35147333889211196,0.48138487255925044,0.4880604503062928,0.3876519568815361,0.39840804811187425,0.3219822665190206,1.0
