BITRATE,VMAF,PSNR,SI,TI,P1204_3_MOS,VCA_E,VCA_H,EVCA_SC,EVCA_TC,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,INFERENCE_TIME_MS,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOPS_SIGNS,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,BICYCLES_PCT,MOTORCYCLES_PCT,BUSES_PCT,TRUCKS_PCT,TRAFFIC_LIGHTS_PCT,PERSONS_PCT,STOPS_SIGNS_PCT,filename
7903,100.0,,24.184028431698287,14.750236861300802,3.6322030397005465,56.920792,89.921928,15.867098,9.845478,-0.038277,0.750845,-0.077516,0.635052,7.683168,1.029703,0.0,0.0,0.0,0.049505,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,71.42857142857144,,,,KITI360
7955,100.0,,25.216714446901737,17.31263781317464,3.5638509222695385,62.39604,112.759002,17.662834,11.471703,-0.044776,0.446347,-0.161753,0.239817,7.670297,0.356436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,94.73684210526314,,,,0.0,,,,KITI360
7903,100.0,,24.16942220668147,16.733564687888226,3.643251725087604,56.524752,103.707405,17.334156,11.663476,-0.043034,0.678363,0.045003,0.680332,7.875248,1.316832,0.0,0.0,0.0,0.267327,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,97.7941160088672,,,,79.41176470588235,,,,KITI360
7903,100.0,,24.109348470805458,14.069453386965188,3.540910987076078,58.039604,85.249246,15.394033,10.853805,-0.048836,0.738154,-0.188492,0.500826,7.782178,0.465347,0.0,0.0,0.009901,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,97.91666666666666,0.0,,100.0,0.0,,,,KITI360
7955,100.0,,25.076454231958905,18.25885736960772,3.5682933764330835,62.534653,124.753036,15.468658,9.353848,-0.044517,0.537645,-0.144225,0.348904,7.777228,1.693069,0.0,0.0,0.0,0.009901,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,99.41860396836115,,,,10.0,,,,KITI360
7909,100.0,,24.31980782790844,9.22147779861491,3.676246275583496,63.871287,47.992974,17.477201,11.148541,-0.0385,0.758146,-0.132197,0.587449,7.791089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,,,,,,,,KITI360
7903,100.0,,24.768938276799883,12.67026976462896,3.5772981230687018,59.633663,67.689036,17.002348,10.774994,-0.043997,0.657076,-0.029815,0.583263,7.614851,1.633663,0.0,0.0,0.009901,0.09901,0.009901,0.069307,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,76.92307692307693,100.0,87.49999999999999,,KITI360
7903,100.0,,28.86341109351655,17.43969840637482,3.407547901087087,81.623762,128.98769,21.859615,14.776328,-0.046218,0.443587,-0.299901,0.097468,7.686139,0.138614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,87.49999999999999,,,,,,,,KITI360
7903,100.0,,28.728074034467312,17.184159401850003,3.457755894667522,72.613861,118.28844,17.506135,11.800393,-0.050114,0.4662,-0.192306,0.223781,7.730693,0.811881,0.0,0.0,0.0,0.118812,0.0,0.09901,0.0,1.0,100.0,100.0,100.0,99.95831846241138,100.0,100.0,97.61904475623524,0.0,,0.0,66.66666666666667,,90.90909090909092,,KITI360
7903,100.0,,25.71227335618877,19.043611805653416,3.438203932133078,65.514851,124.16376,16.465209,11.95786,-0.040182,0.533127,-0.070315,0.422631,7.714851,0.762376,0.0,0.0,0.0,0.029703,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,30.0,,,,KITI360
7903,100.0,,27.2464549525605,14.883644207424105,3.5868647387717925,66.831683,91.423352,17.542393,11.412108,-0.041624,0.642041,-0.151208,0.449209,7.893069,2.069307,0.0,0.0,0.0,0.019802,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,66.66666666666666,,,,KITI360
7903,100.0,,29.86526482047389,19.71517208584288,3.2810743527951542,83.70297,151.587772,21.715773,14.519374,-0.051462,0.444571,-0.323689,0.06942,7.719802,0.0,0.0,0.079208,0.0,0.059406,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,,80.0,,85.71428571428572,,,,KITI360
7905,100.0,,25.513583450913536,17.691185454698545,3.4862319471245606,63.663366,135.832793,13.491693,7.01307,-0.042634,0.571419,-0.210769,0.318015,7.641584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.0,,,KITI360
7903,100.0,,25.5048360600988,17.690901074415986,3.487489588803499,63.594059,135.810829,13.490477,7.008314,-0.040813,0.533637,-0.214004,0.27882,7.673267,1.019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,KITI360
7903,100.0,,26.443393567577683,6.169116165756987,3.836274561814149,69.059406,27.671891,18.005364,9.474404,-0.038353,0.70002,-0.104464,0.557203,7.611881,3.049505,0.0,0.0,0.128713,0.029703,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,76.47058823529412,42.85714285714286,,,,KITI360
7904,100.0,,25.50782004423275,17.69106441645828,3.4861476794531896,63.623762,135.801086,13.490916,7.009507,-0.042736,0.491782,-0.212994,0.236052,7.60297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0196068723568,,,,0.0,0.0,,,KITI360
8153,100.0,,23.05584239348584,16.47368512330481,3.5673281317473924,57.633663,104.077354,19.148907,12.329631,-0.030231,0.555519,-0.323707,0.201582,7.753465,0.079208,0.0,0.0,0.0,0.0,0.0,0.059406,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,100.0,,KITI360
7903,100.0,,25.5086446961226,17.69215160111627,3.485013096961163,63.653465,135.831447,13.492547,7.014312,-0.040957,0.561249,-0.212412,0.307879,7.652475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,93.51851245713344,,,,,0.0,,,KITI360
7907,100.0,,25.50410610948223,17.68938645174351,3.4861109676397497,63.584158,135.765551,13.489902,7.008161,-0.041388,0.423692,-0.212726,0.169578,7.605941,0.990099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,93.45793775002215,,,,,0.0,,,KITI360
7903,100.0,,25.51212331261208,17.690764821568138,3.4840506662968007,63.60396,135.814424,13.487874,7.007148,-0.042557,0.47816,-0.213457,0.222146,7.624752,1.039604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.0,,,KITI360
7903,100.0,,25.508863585047138,17.691858905404967,3.49403795203728,63.653465,135.842093,13.491817,7.009456,-0.041487,0.561593,-0.215355,0.304751,8.10297,1.019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.0,,,KITI360
7903,100.0,,25.51000292587892,17.69135089960503,3.485782199670735,63.613861,135.847219,13.490572,7.013409,-0.04152,0.403817,-0.216218,0.146079,7.859406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.0,,,KITI360
7903,100.0,,25.51045213794435,17.691454474169703,3.486184308497719,63.613861,135.85176,13.492451,7.008489,-0.042238,0.453311,-0.214052,0.19702,7.80495,1.059406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,0.0,,KITI360
7907,100.0,,25.509778393250155,17.691362161047405,3.4856196402454267,63.613861,135.78824,13.492412,7.013537,-0.040406,0.685826,-0.215359,0.430061,7.69505,0.990099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,97.08737578471114,,,,,0.0,,,KITI360
7909,100.0,,24.29047743512442,14.829326186116424,3.6788081405977455,51.356436,90.462841,12.812053,8.618591,-0.050511,0.759314,-0.039909,0.668895,8.092079,6.128713,0.0,0.0,0.019802,0.09901,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,50.0,71.42857142857144,,,,KITI360
7926,100.0,,24.322140697474488,13.89566840954996,3.697216515768324,56.485149,90.77552,15.04367,9.775965,-0.048162,0.566939,-0.029751,0.489027,8.158416,1.376238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,97.88732244098436,,,,0.0,,,,KITI360
8147,100.0,,24.078629308418584,14.33354862563777,3.5363648678467445,54.831683,94.092478,13.785105,9.004312,-0.044432,0.769005,-0.049714,0.674858,7.953465,1.712871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,98.857141537959,,,0.0,0.0,,0.0,,KITI360
