BITRATE,VMAF,PSNR,SI,TI,P1204_3_MOS,VCA_E,VCA_H,EVCA_SC,EVCA_TC,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,INFERENCE_TIME_MS,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOPS_SIGNS,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,BICYCLES_PCT,MOTORCYCLES_PCT,BUSES_PCT,TRUCKS_PCT,TRAFFIC_LIGHTS_PCT,PERSONS_PCT,STOPS_SIGNS_PCT,filename
1056,58.630633,33.314683,21.648561824384835,14.171737628079534,1.98130285306812,48.455446,82.286089,14.252905,8.366669,-0.059209,0.025227,-0.297558,-0.33154,7.89703,0.623762,0.0,0.0,0.0,0.039604,0.0,0.0,0.0,0.3725,89.51594597039843,96.07803428066272,85.12784924004572,91.5083682369444,89.82679126327953,84.97981509887077,60.5768847910514,,,,57.14285714285715,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
1494,70.666116,35.255261,22.472536845745367,14.388256786470311,2.427924428619575,50.574257,85.790167,14.533857,8.716507,-0.04623,0.353955,-0.208863,0.098861,7.992079,0.792079,0.0,0.0,0.0,0.069307,0.0,0.0,0.0,0.4979,92.9230500584855,97.54593720606483,88.85023419913061,95.4051685813498,91.59744901052478,88.53310118614861,76.92305451183496,,,,100.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
1942,78.904178,36.663709,22.953278559785744,14.496904837623385,2.804249019276808,52.19802,87.509554,14.790923,8.957783,-0.04297,0.529895,-0.168981,0.317944,8.19901,0.950495,0.0,0.0,0.0,0.049505,0.0,0.0,0.0,0.6202,94.91089801110478,98.28252233466117,91.70290532851337,97.31725725453752,93.21756883331784,90.98372877375786,92.30768483727832,,,,71.42857142857144,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
2929,88.438224,38.585615,23.448515298373337,14.602080269896614,3.1178593673028026,53.861386,88.907825,15.106158,9.263004,-0.039964,0.555442,-0.123183,0.392295,7.645545,0.960396,0.0,0.0,0.0,0.069307,0.0,0.0,0.0,0.7488,96.9586823162972,98.99556466247064,94.62515208853736,98.8722405951972,95.20429003463646,94.0838423487412,93.26922423261853,,,,100.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
3930,93.669568,39.880292,23.72036516619117,14.657912325958518,3.211009743345425,54.990099,89.376209,15.305936,9.428134,-0.038712,0.61285,-0.104373,0.469765,7.640594,1.009901,0.0,0.0,0.0,0.049505,0.0,0.0,0.0,0.8201,98.08277075584566,99.37408099808547,96.60810587456338,99.39311910660992,96.46336084897187,95.76105903644292,98.07692120931956,,,,71.42857142857144,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
4944,96.882078,40.889969,23.88686003668003,14.692987488697012,3.361697181690781,55.623762,89.534856,15.504078,9.588413,-0.039173,0.73316,-0.089811,0.604175,7.610891,1.009901,0.0,0.0,0.0,0.039604,0.0,0.0,0.0,0.8475,98.77122045296328,99.61187489297888,97.7213423172327,99.5695465960205,97.71212101923112,97.38900437337831,98.07692120931956,,,,57.14285714285715,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
648,39.930388,30.114189,20.05057155605221,13.50017071829027,1.213752322034739,45.574257,73.730904,13.786185,7.837529,-0.08507,-0.557171,-0.49962,-1.141861,7.609901,0.356436,0.0,0.0,0.0,0.049505,0.0,0.0,0.0,0.1108,82.90831948316638,91.5251113947177,80.0660978153642,81.99435403564746,86.88535862071312,79.60536806846757,34.61541823224755,,,,71.42857142857144,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
5903,98.691547,41.690348,24.002869230269003,14.715536943486486,3.4647298819117074,56.09901,89.655716,15.656221,9.69396,-0.038647,0.769881,-0.085545,0.645689,7.919802,0.990099,0.0,0.0,0.0,0.069307,0.0,0.0,0.0,0.8779,99.250913875077,99.76475009763838,98.55627096685514,99.70395207718413,98.67097940656824,98.4610396773016,96.15384241863916,,,,100.0,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
729,44.354246,30.91613,20.46788431343164,13.720366393405502,1.3066499396723144,46.19802,76.131014,13.941297,8.007993,-0.079784,-0.326547,-0.439793,-0.846124,7.994059,0.356436,0.0,0.0,0.0,0.039604,0.0,0.0,0.0,0.1819,84.63389121145816,93.01793945697712,81.16194166799366,84.66345828350121,87.86292868424962,81.33676191242316,34.61541823224755,,,,57.14285714285715,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
890,52.133715,32.239973,21.172676281259854,14.01300602919374,1.650654365589869,47.435644,79.801163,14.084604,8.191384,-0.067765,-0.087139,-0.343693,-0.498596,7.808911,0.475248,0.0,0.0,0.0,0.029703,0.0,0.0,0.0,0.2998,87.54817809223454,95.00190512844384,83.33623326955816,88.74494216805495,88.76609950981585,83.19945461256427,46.15389097633006,,,,42.85714285714286,,,,./DRIVE000/SEQUENCE_B/SEQUENCE_B_11
