,VMAF,PSNR,P1204_3_MOS,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT
VMAF,1.0,0.8422532331353475,0.9512750097069286,0.5531419566365882,0.6555405144985738,0.7017343710335225,0.7196889394064439,0.7898875656526196,0.9667927885712497,0.8243610589178013,0.8544301385564708,0.46340216930164735,0.6082201891197192,0.2761617823724843,0.7665123007704893
PSNR,0.8422532331353475,1.0,0.943518384834337,0.4151520837829026,0.5177111518135304,0.6414624797234455,0.5947458571584671,0.7241327655847322,0.8683133921893604,0.6290438150305874,0.7581032952460267,0.26141867141357117,0.4625079585169258,0.14533954134240692,0.6728585017344048
P1204_3_MOS,0.9512750097069286,0.943518384834337,1.0,0.49460158703996476,0.6150873149390705,0.6694552828736203,0.6779273602154934,0.8228814190969614,0.9582704068622317,0.7526765933341856,0.8621147124042575,0.3747701216304725,0.5963428779072975,0.2500772344510576,0.7378232082589071
COVER_SSC,0.5531419566365882,0.4151520837829026,0.49460158703996476,1.0,0.7628419742198407,0.4791464633221916,0.7435744651822846,0.4888601945121971,0.4970607646775669,0.5353708473855283,0.5788404629412736,0.3323228836169235,0.45191063343106835,0.2763874650928168,0.5205532325634092
COVER_TSC,0.6555405144985738,0.5177111518135304,0.6150873149390705,0.7628419742198407,1.0,0.6820548836422935,0.9736712599714701,0.6123547702844732,0.641455795016653,0.5424408036720589,0.5895699643336215,0.30785372701753844,0.4683398787950608,0.1711124538330359,0.5283354123751471
COVER_ASC,0.7017343710335225,0.6414624797234455,0.6694552828736203,0.4791464633221916,0.6820548836422935,1.0,0.830086659002529,0.4958608355158277,0.6955017773595845,0.5406255604825768,0.5505617767372927,0.32136109852139305,0.38184682489030886,0.08114977698303333,0.5513266123624796
COVER_FSC,0.7196889394064439,0.5947458571584671,0.6779273602154934,0.7435744651822846,0.9736712599714701,0.830086659002529,1.0,0.6214130308834142,0.7055457563472421,0.585537358844588,0.6247229601200062,0.3378529536565231,0.47863791552538004,0.1602586454127532,0.5780291413822193
LD_PCT,0.7898875656526196,0.7241327655847322,0.8228814190969614,0.4888601945121971,0.6123547702844732,0.4958608355158277,0.6214130308834142,1.0,0.7950136072164014,0.660081687952169,0.7890475496271773,0.3316955464890144,0.6558826364378487,0.23787016931537797,0.631495926676403
SI_PCT,0.9667927885712497,0.8683133921893604,0.9582704068622317,0.4970607646775669,0.641455795016653,0.6955017773595845,0.7055457563472421,0.7950136072164014,1.0,0.7347260947763339,0.8202499053803165,0.33548525496527193,0.5402482878010071,0.17478117096292012,0.7785223472465187
TI_PCT,0.8243610589178013,0.6290438150305874,0.7526765933341856,0.5353708473855283,0.5424408036720589,0.5406255604825768,0.585537358844588,0.660081687952169,0.7347260947763339,1.0,0.8065719220943729,0.8031202637638075,0.756967591042947,0.5878113546763352,0.5651078333442284
VCA_E_PCT,0.8544301385564708,0.7581032952460267,0.8621147124042575,0.5788404629412736,0.5895699643336215,0.5505617767372927,0.6247229601200062,0.7890475496271773,0.8202499053803165,0.8065719220943729,1.0,0.48241322970345657,0.8662032550262819,0.39817018477529564,0.6151377460715679
VCA_H_PCT,0.46340216930164735,0.26141867141357117,0.3747701216304725,0.3323228836169235,0.30785372701753844,0.32136109852139305,0.3378529536565231,0.3316955464890144,0.33548525496527193,0.8031202637638075,0.48241322970345657,1.0,0.6040433488153946,0.7160542064307984,0.27484940151437404
EVCA_SC_PCT,0.6082201891197192,0.4625079585169258,0.5963428779072975,0.45191063343106835,0.4683398787950608,0.38184682489030886,0.47863791552538004,0.6558826364378487,0.5402482878010071,0.756967591042947,0.8662032550262819,0.6040433488153946,1.0,0.5084478933904147,0.3484994315428372
EVCA_TC_PCT,0.2761617823724843,0.14533954134240692,0.2500772344510576,0.2763874650928168,0.1711124538330359,0.08114977698303333,0.1602586454127532,0.23787016931537797,0.17478117096292012,0.5878113546763352,0.39817018477529564,0.7160542064307984,0.5084478933904147,1.0,0.07581172830497987
CARS_PCT,0.7665123007704893,0.6728585017344048,0.7378232082589071,0.5205532325634092,0.5283354123751471,0.5513266123624796,0.5780291413822193,0.631495926676403,0.7785223472465187,0.5651078333442284,0.6151377460715679,0.27484940151437404,0.3484994315428372,0.07581172830497987,1.0
