BITRATE,VMAF,PSNR,SI,TI,P1204_3_MOS,VCA_E,VCA_H,EVCA_SC,EVCA_TC,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,INFERENCE_TIME_MS,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOPS_SIGNS,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT,BICYCLES_PCT,MOTORCYCLES_PCT,BUSES_PCT,TRUCKS_PCT,TRAFFIC_LIGHTS_PCT,PERSONS_PCT,STOPS_SIGNS_PCT,filename,filename
990,89.287677,42.887942,13.476512779436158,6.687990666974815,2.745098728819244,32.8,37.796472,12.174192,8.570844,-0.083681,-0.2276,-0.371543,-0.682824,8.725495,2.351648,0.0,0.0,0.287912,0.342857,0.0,0.213187,0.0,0.9213,96.6732955826773,97.0839191864301,85.63231515031198,96.28722071360994,88.57464085601303,87.79372534373697,91.53120135947292,,,69.6807982826178,94.54550969702484,,85.84066164154103,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
1493,93.22869,44.120553,13.65273924096847,6.742814566514047,2.8809033173290595,33.832967,38.34942,12.449969,8.78299,-0.08303,-0.25809,-0.338677,-0.679797,8.116703,2.472527,0.0,0.0,0.318681,0.338462,0.0,0.228571,0.0,0.9413,97.93744997365584,97.87975149203338,88.32912477482029,97.69586610567588,90.58108602554452,89.9668004407487,96.23607219436478,,,77.12754757531093,93.33355393961456,,92.03509534853757,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
1993,95.215403,44.953018,13.730464430650088,6.7741563058994005,2.957333172248747,34.582418,38.652706,12.687716,8.958422,-0.081978,-0.18354,-0.316638,-0.582156,8.179341,2.56044,0.0,0.0,0.358242,0.362637,0.0,0.217582,0.0,0.9543,98.4950089178195,98.33471308590563,90.28574746450676,98.46849287415702,92.3108398473665,91.7638030258503,99.65783536007469,,,86.70214696977398,100.0,,87.61032727741271,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
2980,97.376499,46.163608,13.828739370762989,6.811879328649832,3.0375045522591586,35.61978,38.954164,13.03208,9.219674,-0.079905,-0.17874,-0.327713,-0.586358,8.103077,2.569231,0.0,0.0,0.373626,0.345055,0.0,0.228571,0.0,0.9659,99.19998078178726,98.8823063877706,92.99403129709695,99.23646277838203,94.81629709855326,94.4398856069242,100.0,,,90.42540060553696,95.15162545465576,,92.03509534853757,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
3979,98.472239,47.086387,13.873609704366617,6.838389166534564,3.087866927463333,36.479121,39.152273,13.281528,9.409704,-0.082951,-0.215399,-0.324569,-0.622919,8.084615,2.547253,0.0,0.0,0.410989,0.347253,0.0,0.241758,0.0,0.9713,99.52185655887818,99.26712734327155,95.23754834995012,99.74114916838036,96.63118280203574,96.3864198837201,99.14456893911058,,,99.46803747455752,95.75774121228666,,97.34489756474682,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
4979,99.068433,47.965707,13.90904095384506,6.858296716450725,3.076792763561887,37.254945,39.253882,13.521672,9.585437,-0.081464,-0.18115,-0.324747,-0.587361,8.263736,2.50989,0.0,0.0,0.406593,0.347253,0.0,0.237363,0.0,0.9758,99.77602139437776,99.5561084533685,97.26302412035184,100.0,98.37837625468758,98.18650570208652,97.69032056673768,,,98.40411242367256,95.75774121228666,,95.57523192887516,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
495,77.839467,40.433134,12.992659984158731,6.536185523112054,2.2845891761354107,30.931868,36.328288,11.819717,8.29807,-0.086133,-0.345788,-0.410761,-0.842681,8.092967,2.123077,0.0,0.0,0.191209,0.276923,0.0,0.193407,0.0,0.8558,93.20239438873234,94.88029196074751,80.75510575499545,92.5469944603186,85.99561993886017,84.99961946140932,82.63472611065335,,,46.27662535365343,76.36369151520667,,77.87615964437573,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
5980,99.460671,48.86182,13.937635671490996,6.873515493532736,3.0789485928642177,37.883516,39.198038,13.647499,9.684046,-0.080324,-0.161315,-0.303381,-0.54502,8.183956,2.494505,0.0,0.0,0.408791,0.336264,0.0,0.241758,0.0,0.9776,99.98114460661608,99.77702660321611,98.90406039981362,99.85773636350156,99.29384410134136,99.19658726026452,97.0915032552542,,,98.93607494911504,92.72743818198364,,97.34489756474682,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
593,81.601871,41.143541,13.158446823574616,6.587378621529398,2.4569780489758086,31.47033,36.81759,11.884123,8.351245,-0.084464,-0.300727,-0.406157,-0.791348,8.111868,2.276923,0.0,0.0,0.259341,0.342857,0.0,0.178022,0.0,0.8781,94.39166051364752,95.62341898904828,82.1608907452536,93.79350047467918,86.46421270616435,85.54430693269609,88.62274353687934,,,62.766011515367126,94.54550969702484,,71.6813232830821,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
789,86.425129,42.167631,13.357708424188502,6.650257467507541,2.635461479086315,32.224176,37.391898,12.042177,8.469064,-0.085283,-0.262699,-0.374333,-0.722316,8.054066,2.408791,0.0,0.0,0.274725,0.32967,0.0,0.195604,0.0,0.9068,95.82105667344764,96.5361781577508,84.12898764302196,95.25656086702456,87.61415155104672,86.75116228162948,93.75532990221588,,,66.48926515113011,90.90909090909092,,78.760791135163,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
7979,100.0,,13.940264163137714,6.888875854024679,3.175904649047176,38.303297,38.895303,13.744557,9.762479,-0.082826,-0.149874,-0.305579,-0.538278,8.129011,2.476923,0.0,0.0,0.413187,0.340659,0.0,0.248352,0.0,1.0,100.0,100.0,100.0,99.086513277846,100.0,100.0,96.40717397540357,,,100.0,93.93939393939394,,100.0,,./TRAIN07/SEQUENCE_C_03,./NUSCENES
1090,93.529457,43.06168,17.47721067993959,6.515730042062774,2.7776142656378227,43.245431,32.930584,12.589665,7.033943,-0.095256,0.021061,-0.191395,-0.265591,8.572846,5.524804,0.0,0.0,0.0,0.255875,0.890339,0.54047,0.0,0.9152,98.7906763597884,96.4533796703531,89.6120756875796,95.44498136406747,87.86622398778243,83.77005707104685,98.00832914085244,0.0,,,100.0,90.4509038598687,89.61041760275097,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
1578,95.53268,43.967756,17.56909924933537,6.5678725753720855,2.8747050658230764,44.224543,33.396167,12.867146,7.235455,-0.096094,0.074809,-0.185111,-0.206396,8.255875,5.532637,0.0,0.0,0.0,0.195822,0.955614,0.550914,0.0,0.9338,99.3100804046662,97.22525381642572,91.64096652348356,96.79441266350712,89.80282894894333,86.16994455101374,98.14728415937624,0.0,,,76.53033707865168,97.08229117352442,91.34204230244409,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
2056,96.580911,44.585023,17.605305108232436,6.6008013439377295,2.916186680542121,44.911227,33.723465,13.189644,7.479799,-0.092374,0.055567,-0.175941,-0.212748,8.140209,5.637076,0.0,0.0,0.0,0.201044,0.900783,0.561358,0.0,0.943,99.51473556126588,97.71270357202268,93.06389553953268,97.74304301608444,92.05361810843344,89.07993555107842,100.0,0.0,,,78.57117733268197,91.5119258300536,93.07366700213716,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
3033,97.854991,45.576788,17.635234798239257,6.646841041716065,3.019001886652597,45.830287,34.062485,13.577638,7.793624,-0.092493,0.170089,-0.168604,-0.091009,8.183812,5.56658,0.0,0.0,0.0,0.232376,0.924282,0.577023,0.0,0.9562,99.68391440640085,98.3942364810068,94.96834815746188,98.72564804920644,94.76151920905173,92.81740373362145,98.74942257297931,0.0,,,90.8162188568637,93.8992252629697,95.67093825076724,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
3991,98.427983,46.349222,17.655935569582834,6.680299573362596,3.0457808376402697,46.519582,34.304404,13.911425,8.053804,-0.090953,0.073961,-0.162492,-0.179484,8.389556,5.603133,0.002611,0.0,0.0,0.250653,0.984334,0.587467,0.0,0.9634,99.8009263964519,98.88952840306035,96.3966876209088,99.42681856129371,97.0910969465221,95.91599202879884,99.39786158639691,100.0,,,97.95915974596971,100.0,97.40256295046034,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
4975,98.736154,47.072606,17.67080049869121,6.706926889402541,3.0675217210928496,47.185379,34.483461,14.096686,8.199115,-0.092574,-0.057091,-0.164041,-0.313706,8.262663,5.519582,0.002611,0.0,0.0,0.24282,0.94517,0.587467,0.0,0.9679,99.88495104017508,99.283696762864,97.77633512995,99.94579180598645,98.38407690446384,97.64655918907452,97.91569246183658,100.0,,,94.89789936492429,96.02126920333951,97.40256295046034,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
553,87.861629,41.24647,17.144613715687004,6.407668429708877,2.5750524352111324,41.203655,32.109724,12.203488,6.70726,-0.09883,-0.232877,-0.24899,-0.580697,8.024804,5.35248,0.0,0.0,0.0,0.201044,0.86423,0.469974,0.0,0.8664,96.91065787998376,94.85372657593771,85.38115969904237,93.06582624788405,85.17100415620392,79.879457793495,94.95135421271594,0.0,,,78.57117733268197,87.79845052593936,77.92211668073212,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
5975,98.945491,47.790221,17.67637341567907,6.727888672476107,3.083460852424791,47.660574,34.502164,14.214224,8.295458,-0.091201,0.002471,-0.151627,-0.240357,8.266841,5.600522,0.0,0.0,0.0,0.237598,0.981723,0.5953,0.0,0.9704,99.91645219036486,99.5939973444274,98.76102205112691,100.0,99.20440216610312,98.79394673662726,99.35154324688898,0.0,,,92.857059110894,99.73474450745375,98.70128147523018,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
668,89.838819,41.789328,17.28295536012861,6.43994140947518,2.6268414880409576,41.819843,32.320375,12.289736,6.789369,-0.098157,-0.11719,-0.219813,-0.43516,8.117232,5.370757,0.0,0.0,0.0,0.154047,0.926893,0.503916,0.0,0.8773,97.69263990637192,95.33146858648722,86.65800870752555,93.67637056040893,85.77294917114261,80.85732690844897,95.27558258927144,0.0,,,60.20400586223741,94.1644807555159,83.5497311538251,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
887,92.142471,42.54814,17.402046890495793,6.485987047680992,2.7298320314704627,42.671018,32.655508,12.454431,6.922659,-0.095257,-0.043361,-0.214323,-0.352942,8.041775,5.480418,0.0,0.0,0.0,0.229765,0.911227,0.501305,0.0,0.8984,98.36580984459324,96.01308943255636,88.42179176528663,94.64770963351748,86.92239419288607,82.44473114345625,97.22093510891106,0.0,,,89.79579872984856,92.57294780023854,83.11682497890183,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
7975,100.0,,17.691153987334665,6.755315432524461,3.12845027507118,48.258486,34.281957,14.328219,8.396727,-0.091878,-0.094979,-0.170372,-0.357229,8.276501,5.548303,0.0,0.0,0.0,0.255875,0.911227,0.603133,0.0,1.0,100.0,100.0,100.0,99.36175887402308,100.0,100.0,98.4251941964238,0.0,,,100.0,92.57294780023854,100.0,,./TRAIN07/SEQUENCE_C_05,./NUSCENES
1094,93.211173,42.947801,16.925005152817693,7.2776008732862465,2.746676927167121,41.312849,41.00826,9.165921,7.461435,-0.080606,-0.006995,-0.218001,-0.305602,11.659218,1.709497,0.094972,0.013966,0.0,0.293296,0.0,0.818436,0.0,0.9387,98.13632275391696,97.20847254249873,89.71792510018896,96.4510799874686,84.90140616502899,86.43701471069673,95.03102758767524,87.17906351260798,55.55290373906126,,92.10516398899622,,95.43975688654317,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
1587,95.645374,43.999632,17.064659890829446,7.328477976654451,2.83918565646752,42.27095,41.510709,9.493676,7.692836,-0.078418,-0.026497,-0.206695,-0.31161,10.101676,1.706704,0.100559,0.019553,0.0,0.296089,0.0,0.804469,0.0,0.9517,98.94608336077584,97.88804890178548,91.79860546567082,97.63283577736614,87.93731061779691,89.11768024501686,94.87576457168144,92.30762169654577,77.77645186953063,,92.98226331193707,,93.81103199610048,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
2075,96.787213,44.721823,17.127255651982725,7.360528900927505,2.8609130304714268,42.905028,41.796533,9.765212,7.89222,-0.0774,0.082283,-0.188264,-0.183381,10.113128,1.782123,0.106145,0.02514,0.0,0.304469,0.0,0.837989,0.0,0.9607,99.30903260446,98.31615995739384,93.17561440813512,98.30509140309466,90.45247393029187,91.42744475292687,99.06831072393256,97.43526193557864,100.0,,95.613875315605,,97.71987844327158,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
3050,97.931635,45.797906,17.181474415204175,7.400864161337573,2.9469042745994534,43.818436,42.147417,10.155638,8.163132,-0.076563,0.121348,-0.177522,-0.132737,8.754469,1.793296,0.108939,0.022346,0.0,0.312849,0.0,0.837989,0.0,0.969,99.62340946867808,98.8549266639412,95.15923627187811,99.13036759745948,94.0688826254342,94.56582557770176,99.68941837796012,100.0,88.88623707239461,,98.24548731927294,,97.71987844327158,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
4018,98.467269,46.60199,17.21465032409793,7.428110605254076,3.041923902577496,44.530726,42.382178,10.458278,8.382019,-0.075546,0.083354,-0.180175,-0.172367,8.632682,1.784916,0.106145,0.019553,0.0,0.312849,0.0,0.857542,0.0,0.9744,99.81577346936558,99.21886324708912,96.70609596363198,99.6825234799314,96.87215373826449,97.10152264388007,99.22357373992638,97.43526193557864,77.77645186953063,,98.24548731927294,,100.0,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
4980,98.785225,47.338763,17.231223045540112,7.4500765866101775,3.0659989578608178,45.139665,42.51716,10.619697,8.505415,-0.075506,0.036261,-0.171996,-0.211241,8.924302,1.798883,0.106145,0.02514,0.0,0.310056,0.0,0.843575,0.0,0.9763,99.91186714411934,99.51226756160185,98.02851126335106,100.0,98.36733355508298,98.53100395240064,100.0,97.43526193557864,100.0,,97.36838799633207,,98.37127510955732,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
597,86.39331,41.080283,16.52133793991375,7.166798638570192,2.474201635183942,39.620112,40.210524,8.789814,7.200814,-0.085586,-0.168985,-0.270148,-0.524719,8.488827,1.486034,0.081006,0.019553,0.0,0.296089,0.0,0.75419,0.0,0.9117,95.79573759408792,95.72846337758564,86.04185687791946,94.57481167603858,81.41763043005258,83.41785000432101,82.60870773696789,74.35904497012089,77.77645186953063,,92.98226331193707,,87.94787893770801,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
5973,99.001503,48.052142,17.237542914445907,7.4669893222490415,3.0445141256861232,45.569832,42.486155,10.694571,8.56,-0.07684,0.016019,-0.182004,-0.242825,8.320112,1.765363,0.108939,0.02514,0.0,0.315642,0.0,0.843575,0.0,0.9793,99.94851166440762,99.73817459148634,98.9626925561148,99.92707650275794,99.06087083139164,99.16334403818622,98.13662144786517,100.0,100.0,,99.12258664221382,,98.37127510955732,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
698,88.621873,41.603343,16.664272212210932,7.201474513792924,2.548978581106873,40.086592,40.461471,8.893789,7.269664,-0.083991,-0.246131,-0.231605,-0.561727,8.199721,1.544693,0.083799,0.013966,0.0,0.276536,0.0,0.748603,0.0,0.9183,96.62451393726184,96.19163646486626,87.05489806761656,95.16503689333908,82.38072226839691,84.21544302266554,85.86956461315161,76.92286508963733,55.55290373906126,,86.84193998166036,,87.2963656590581,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
896,91.431455,42.362339,16.818463161588713,7.246030780582108,2.674897394481052,40.812849,40.785451,9.027069,7.367661,-0.081961,-0.123028,-0.223162,-0.428151,8.22905,1.650838,0.086592,0.013966,0.0,0.318436,0.0,0.832402,0.0,0.9324,97.5185599146335,96.78678405707228,88.63208949126995,95.92703510770713,83.61525826468959,85.35068954436065,91.77017071149152,79.48668520915375,55.55290373906126,,100.0,,97.06836516462168,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
7973,100.0,,17.24642281050026,7.486591120032815,3.125154306965319,46.047486,42.287633,10.795959,8.632222,-0.075554,0.028923,-0.177025,-0.223655,8.350838,1.77933,0.108939,0.02514,0.0,0.307263,0.0,0.824022,0.0,1.0,100.0,100.0,100.0,99.46015444117153,100.0,100.0,98.91304770793876,100.0,100.0,,96.4912886733912,,96.0911535528289,,./TRAIN07/SEQUENCE_C_02,./NUSCENES
1046,92.083759,43.148594,16.30968682685802,7.067719873113098,2.7417839239851,39.181435,33.622495,12.506107,6.774306,-0.073748,-0.070216,-0.095844,-0.239807,12.46097,5.35443,0.0,0.0,0.0,0.778481,0.00211,0.251055,0.0,0.9413,97.60313871143585,96.9724839385156,89.56404503320068,96.45580206443132,89.06169894739887,83.84848394455754,98.33396631276138,,,,100.0,100.0,91.53838300603071,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
1536,94.514037,44.124845,16.456846372544778,7.119357831480303,2.831110895865728,40.067511,33.930494,12.844758,7.056374,-0.071644,-0.198422,-0.094926,-0.364992,8.565612,5.314346,0.0,0.0,0.0,0.755274,0.0,0.253165,0.0,0.9563,98.48379532384384,97.68098132922728,91.58950813241692,97.3393858252451,91.47338736572404,87.33976027150135,97.59782470559112,,,,97.01893816290956,0.0,92.30772035498902,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
2033,95.768958,44.829297,16.523849271478152,7.152425310281933,2.885672869778763,40.677215,34.17079,13.092646,7.273391,-0.070368,0.060995,-0.093388,-0.102762,8.511814,5.417722,0.0,0.0,0.0,0.772152,0.00211,0.248945,0.0,0.9631,98.88476520806586,98.13468289275087,92.98321810023512,98.02874404844876,93.23871101349653,90.02587253749525,99.49632223035997,,,,99.18700649084565,100.0,90.76904565707244,,./TRAIN07/SEQUENCE_C_12,./NUSCENES
