BITRATE,FRAME,CARS,BICYCLES,MOTORCYCLES,BUSES,TRUCKS,TRAFFIC_LIGHTS,PERSONS,STOP_SIGNS,INFERENCE_TIME_MS
997.0,154.0,4.553746,0.0,0.003257,0.035831,0.390879,0.345277,0.052117,0.0,8.050814
1513.0,154.0,4.86645,0.0,0.0,0.006515,0.2443,0.371336,0.074919,0.0,8.275244
2018.0,154.0,5.250814,0.003257,0.0,0.019544,0.234528,0.351792,0.091205,0.0,8.392834
454.0,154.0,2.690554,0.0,0.0,0.084691,0.674267,0.381107,0.019544,0.0,8.306189
454.0,154.0,2.690554,0.0,0.0,0.084691,0.674267,0.381107,0.019544,0.0,8.457003
500.0,154.0,3.228013,0.0,0.0,0.052117,0.557003,0.345277,0.029316,0.0,8.3557
586.0,154.0,3.540717,0.0,0.0,0.04886,0.560261,0.345277,0.039088,0.0,8.5557
677.0,154.0,3.869707,0.0,0.0,0.04886,0.615635,0.325733,0.042345,0.0,8.306189
781.0,154.0,4.208469,0.0,0.003257,0.052117,0.576547,0.335505,0.055375,0.0,8.250489
874.0,154.0,4.309446,0.0,0.003257,0.039088,0.462541,0.358306,0.042345,0.0,8.144625
